NoOA;NoOAMaitre;NoCommmande;Recevable;TypeDest;QteAProd;sku_color;description;StatutOA;Departement;TrackerTab;sku;NoDePlis;ColorCodes;LineUpNo;LineupName;DateLivOA;MaxDate;NomClientLiv;ProjectManager;ProjectNumber;Packaged;OrderType;ProjectType;OrderCategory429;ORDER CHECK;COPY;BEER;COFFIN;PRODUCE;MEAT;SERVICE DELI;BAKERY;DELI;DAIRY;SEAFOOD;SELF CONTAINED;GLASS DOOR;FROZEN;HOT CASE;CUT FRUIT;WINE;BEVERAGE;FLORAL;AREA;HU;KW;HP;TY;ZZ;SANYO;KL;BAR;CD;SCA;PANASONIC;OEM;Bracket;BracketX;Bracket2;Bracket2X;Dash;DashX;MODEL - REV1;RMV LT Dash;RMV RT Dash;Fix Mutli Dash;MODEL - REV2;MODEL FINAL;COLOR;COLOR2;old check;New check;NEW PART;OLD PART;BACKPANEL
364512-001;364512;83124;1;2;2;HP-CN002-12 TXPT;HP CANOPY FLAT 12ft TXPT;2;295 Kanban;429;HP-CN002-12;3;"Pewter; HS-1161-ST";01;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');;45498;Walmart 5767;Patrick Desrochers;WM5767Y2024;Faux;Reskin;Remodel 2024;Reskin w/ Shelf;keep;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');HP;HP;HP;HP;HP;HP;HP;HP;HP;HP;11;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;24;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;O5DMNRG;O5DMNRG;O5DMNRG;O5DM;O5DM;O5DM;TXPT;TXPT;Not Old;Not New;HP-CN002-12;HP024;0
364512-002;364512;83124;1;2;2;HP-CN002-SC TXPT;HP CANOPY FLAT SEAM COVER TXPT;2;429 Kanban;429;HP-CN002-SC;3;"Pewter; HS-1161-ST";01;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');;45498;Walmart 5767;Patrick Desrochers;WM5767Y2024;Faux;Reskin;Remodel 2024;Reskin w/ Shelf;keep;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');HP;HP;HP;HP;HP;HP;HP;HP;HP;HP;11;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;24;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;O5DMNRG;O5DMNRG;O5DMNRG;O5DM;O5DM;O5DM;TXPT;TXPT;Not Old;Not New;HP-CN002-SC;HP176;0
364512-003;364512;83124;1;2;2;HP-FP001-12 TXPT;HP UPPER FRONT PANEL 12ft TXPT;2;295 Kanban;429;HP-FP001-12;6;"Pewter; HS-1161-ST";01;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');;45498;Walmart 5767;Patrick Desrochers;WM5767Y2024;Faux;Reskin;Remodel 2024;Reskin w/ Shelf;keep;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');HP;HP;HP;HP;HP;HP;HP;HP;HP;HP;11;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;24;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;O5DMNRG;O5DMNRG;O5DMNRG;O5DM;O5DM;O5DM;TXPT;TXPT;Not Old;Not New;HP-FP001-12;HP119;0
364512-004;364512;83124;1;2;2;HP-FP001-SC TXPT;HP UPPER FRONT PANEL SEAM COVER TXPT;2;429 Kanban;429;HP-FP001-SC;4;"Pewter; HS-1161-ST";01;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');;45498;Walmart 5767;Patrick Desrochers;WM5767Y2024;Faux;Reskin;Remodel 2024;Reskin w/ Shelf;keep;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');HP;HP;HP;HP;HP;HP;HP;HP;HP;HP;11;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;24;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;O5DMNRG;O5DMNRG;O5DMNRG;O5DM;O5DM;O5DM;TXPT;TXPT;Not Old;Not New;HP-FP001-SC;HP169;0
364512-005;364512;83124;1;2;2;HP680 TXPT;HP FRONT PANEL 144in TXPT;2;295 Kanban;;HP680;2;"Pewter; HS-1161-ST";01;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');;45498;Walmart 5767;Patrick Desrochers;WM5767Y2024;Faux;Reskin;Remodel 2024;Reskin w/ Shelf;keep;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');HP;HP;HP;HP;HP;HP;HP;HP;HP;HP;11;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;24;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;O5DMNRG;O5DMNRG;O5DMNRG;O5DM;O5DM;O5DM;TXPT;TXPT;Not Old;Not New;HP680;HP680;0
364512-006;364512;83124;1;2;2;HP681 TXPT;HP FRONT PANEL SEAM COVER TXPT;2;429 Kanban;;HP681;2;"Pewter; HS-1161-ST";01;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');;45498;Walmart 5767;Patrick Desrochers;WM5767Y2024;Faux;Reskin;Remodel 2024;Reskin w/ Shelf;keep;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');HP;HP;HP;HP;HP;HP;HP;HP;HP;HP;11;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;24;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;O5DMNRG;O5DMNRG;O5DMNRG;O5DM;O5DM;O5DM;TXPT;TXPT;Not Old;Not New;HP681;HP681;0
364512-007;364512;83124;1;2;2;HP-RT004-12 TXPT;HP KICKPLATE RETAINER 3H 12ft TXPT;2;295 Kanban;429;HP-RT004-12;7;"Pewter; HS-1161-ST";01;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');;45498;Walmart 5767;Patrick Desrochers;WM5767Y2024;Faux;Reskin;Remodel 2024;Reskin w/ Shelf;keep;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');HP;HP;HP;HP;HP;HP;HP;HP;HP;HP;11;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;24;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;O5DMNRG;O5DMNRG;O5DMNRG;O5DM;O5DM;O5DM;TXPT;TXPT;Not Old;Not New;HP-RT004-12;HP118;0
364512-008;364512;83124;1;2;2;HP-RT004-SC TXPT;HP KICKPLATE RETAINER 3H SEAM COVER TXPT;2;429 Kanban;429;HP-RT004-SC;4;"Pewter; HS-1161-ST";01;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');;45498;Walmart 5767;Patrick Desrochers;WM5767Y2024;Faux;Reskin;Remodel 2024;Reskin w/ Shelf;keep;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');HP;HP;HP;HP;HP;HP;HP;HP;HP;HP;11;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;24;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;O5DMNRG;O5DMNRG;O5DMNRG;O5DM;O5DM;O5DM;TXPT;TXPT;Not Old;Not New;HP-RT004-SC;HP181;0
364513;364513;83124;1;1;2;HP-CN002-SC TXPT;HP CANOPY FLAT SEAM COVER TXPT;2;429 Kanban;429;HP-CN002-SC;3;"Pewter; HS-1161-ST";01;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');;45498;Walmart 5767;Patrick Desrochers;WM5767Y2024;Faux;Reskin;Remodel 2024;Reskin w/ Shelf;keep;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');HP;HP;HP;HP;HP;HP;HP;HP;HP;HP;11;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;24;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;O5DMNRG;O5DMNRG;O5DMNRG;O5DM;O5DM;O5DM;TXPT;TXPT;Not Old;Not New;HP-CN002-SC;HP176;0
364514;364514;83124;1;1;2;HP-FP001-SC TXPT;HP UPPER FRONT PANEL SEAM COVER TXPT;2;429 Kanban;429;HP-FP001-SC;4;"Pewter; HS-1161-ST";01;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');;45498;Walmart 5767;Patrick Desrochers;WM5767Y2024;Faux;Reskin;Remodel 2024;Reskin w/ Shelf;keep;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;PRODUCE;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');40' MD PRODUCE - CASE 4-7 - HP O5DMNRG (2X8'+2X12');HP;HP;HP;HP;HP;HP;HP;HP;HP;HP;11;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;24;40' MD PRODUCE - CASE 4-7 - HP O5DMNRG;O5DMNRG;O5DMNRG;O5DMNRG;O5DM;O5DM;O5DM;TXPT;TXPT;Not Old;Not New;HP-FP001-SC;HP169;0
