location;warehouse_number;qty;sku_color_id;amount_needed
A01-01;499 A;84;HU-KP001-4DR SS;0
A01-02;499 A;169;HP-RT005-4DR TXPT;0
A01-03;499 A;6;HP-RT005-4DR GLBK;0
A02-01;499 A;41;HU-FP054-4DR TXPT;0
A02-02;499 A;45;ZZ-KP001-4DR-V GLBK;0
A02-03;499 A;139;HP-FP042-4DR TXPT;0
A03-01;499 A;50;HU-FP054-4DRE TXPT;0
A03-02;499 A;30;ZZ-FP001-4DR TXPT;0
A03-03;499 A;52;ZZ-CN001-4DR TXPT;0
A04-02;499 A;94;HU-CN009-4DR TXPT;0
A04-03;499 A;17;HP-FP043-4DR TXPT;0
A05-01;499 A;48;HU-KP001-3DR GLBK;0
A05-01;499 A;31;HU-FP061-EC2R TXPT;0
A05-02;499 A;251;KW163-6 TXPT;0
A05-02;499 A;76;HU051 BK;0
A05-02;499 A;218;HU-FP054-E TXPT;0
A05-03;499 A;17;HP-RT003-8 TXPT;0
A05-03;499 A;78;KW163-4 TXPT;0
B01-02;499 A;55;HP-CN002-12 TXPT;0
B01-03;499 A;90;KW678 SS;0
B02-01;499 A;35;HP022 BK;0
B02-02;499 A;140;HP-RT004-12 TXPT;0
B02-03;499 A;40;KW-CN008-12 TXPT;0
B03-01;499 A;525;CF006 BK;0
B03-02;499 A;140;HP-FP002-12 TXPT;0
B03-03;499 A;80;TY134 TXPT;0
B04-01;499 A;150;HP023 BK;0
B04-02;499 A;53;HP-FP001-12 TXPT;0
B04-03;499 A;49;HU-KP021-12 GLBK;0
B05-01;499 A;500;CF005 BK;0
B05-02;499 A;220;CF-KP001-12-V GLBK;0
B05-03;499 A;64;KW170 TXPT;0
B06-01;499 A;54;HP1339 BK;0
B06-02;499 A;211;TY025 TXPT;0
B06-03;499 A;40;TY-FP014-12 TXPT;0
B07-01;499 A;435;CF002 BK;0
B07-02;499 A;46;TY-CN014-12 TXPT;0
B07-03;499 A;63;TY144 TXPT;0
