order_id_id;qty;sku_color_id
80306;5;AP-8-CLR
80306;5;AP-EXTRU8
80306;3.33333;AP-INSERT
80306;10;AP-POST_ASSY
80306;5;AP-DIA-8
80306;25;AP-8
80306;25;AP-EXTRU8
80306;16.66665;AP-INSERT
80306;50;AP-POST_ASSY
80306;25;AP-DIA-8
80555;3;HU-KP001-12 GLBK
80555;2;HU-KP001-SC GLBK
80555;2;CF007 GLBK
82796;2;TY N6DHPL 8' EXT
82796;2;TY005 BK
82796;2;TY006 BK
82796;3;TY008 BK
82796;2;TY009 BK
82796;2;TY-CN014-8 TXCG
82796;4;TY-CN014-SC TXCG
82796;2;TY177 TXCG
82796;4;TY222 TXCG
82796;2;TY038 TXCG
82796;2;TY002 BK
82796;1;TY N6DHPL 12' EXT
82796;1;TY005 BK
82796;1;TY006 BK
82796;1.5;TY008 BK
82796;1;TY009 BK
82796;1;TY-CN014-12 TXCG
82796;2;TY-CN014-SC TXCG
82796;1;TY144 TXCG
82796;2;TY222 TXCG
82796;1;TY025 TXCG
82796;1;TY002 BK
82796;2;TY316 GLBK
82796;1;TY315 GLBK
82796;2;CF009 GLBK
82796;3;DM1008E144
82796;3;DM1008E144 NP
82796;3;CF002 CLGRY
82796;3;HU P2U 8' EXT 1
82796;3;HU002 BK
82796;3;HU023 BK
82796;3;HU-CN002-8 TXCG
82796;6;HU-CN002-SC TXCG
82796;3;HU-CB002-8 TXCG
82796;6;HU-CB002-SC TXCG
82796;3;HU-FP003-8 TXCG
82796;6;HU-FP003-SC TXCG
82796;3;HU-FP037-8 TXCG
82796;3;CF002 CLGRY
82796;3;HU P2U 12' EXT 1
82796;3;HU002 BK
82796;3;HU023 BK
82796;3;HU-CN002-12 TXCG
82796;6;HU-CN002-SC TXCG
82796;3;HU-CB002-12 TXCG
82796;6;HU-CB002-SC TXCG
82796;3;HU-FP003-12 TXCG
82796;6;HU-FP003-SC TXCG
82796;3;HU-FP037-12 TXCG
82796;3;HU-KP001-8-VC GLBK
82796;3;HU-KP001-12-VC GLBK
82796;2;CF007 GLBK
82796;1;CF367 TXBK
82796;1;CF367 TXBK
82796;1;CF367 TXBK
82796;6;CF002 BK
82796;6;CF002 BK
82796;2;HU FI 12' EXT
82796;8;HU051 BK
82796;8;HU051 BK
82796;4;HU052 BK
82796;4;HU053 BK
82796;6;HU209 BK
82796;4;HU1378 TXCG
82796;4;HU1379 TXCG
82796;4;HU1471 TXCG
82796;4;HU-FP026-12 TXCG
82796;8;HU-FP026-EC2 TXCG
82796;4;HU1472 TXCG
82796;8;HU1385 TXCG
82796;1;CF002 BK
82796;1;HU FI/FN PLENUM KIT
82796;2;HU1382 TXCG
82796;5;HU-KP001-12-VC GLBK
82796;6;HU-KP001-SC GLBK
82796;3;CF002 CLGRY
82796;3;HU P4U 12' EXT
82796;3;HU002 BK
82796;3;HU023 BK
82796;3;HU-CN002-12 TXCG
82796;6;HU-CN002-SC TXCG
82796;3;HU-CB002-12 TXCG
82796;6;HU-CB002-SC TXCG
82796;3;HU-FP003-12 TXCG
82796;6;HU-FP003-SC TXCG
82796;3;HU-KP001-SC GLBK
82796;3;HU-FP034-12 TXCG
82796;6;HU-FP034-SC TXCG
82796;3;HU-FP033-12 TXCG
82796;2;CF002 CLGRY
82796;2;HU P4U 8' EXT
82796;2;HU002 BK
82796;2;HU023 BK
82796;2;HU-CN002-8 TXCG
82796;4;HU-CN002-SC TXCG
82796;2;HU-CB002-8 TXCG
82796;4;HU-CB002-SC TXCG
82796;2;HU-FP003-8 TXCG
82796;4;HU-FP003-SC TXCG
82796;2;HU-KP001-SC GLBK
82796;2;HU-FP034-8 TXCG
82796;4;HU-FP034-SC TXCG
82796;2;HU-FP033-8 TXCG
82796;2;HU-KP001-8-VC GLBK
82796;3;HU-KP001-12-VC GLBK
82796;2;CF010 GLBK
82796;2;CF367 TXBK
82796;5;DM1008E144
82796;5;DM1008E144 NP
82796;2;TY N6DHPL 12' EXT
82796;2;TY005 BK
82796;2;TY006 BK
82796;3;TY008 BK
82796;2;TY009 BK
82796;2;TY-CN014-12 TXCG
82796;4;TY-CN014-SC TXCG
82796;2;TY144 TXCG
82796;4;TY222 TXCG
82796;2;TY025 TXCG
82796;2;CF-KP001-SC GLBK
82796;2;TY002 BK
82796;2;TY315 GLBK
82796;2;CF009 GLBK
82796;2;DM1008E144
82796;2;DM1008E144 NP
82796;1;CF367 TXBK
82796;1;TY N6DHPM 12' EXT
82796;1;TY005 BK
82796;1;TY006 BK
82796;1.5;TY008 BK
82796;1;TY009 BK
82796;1;TY-CN014-12 TXCG
82796;2;TY-CN014-SC TXCG
82796;1;TY134 TXCG
82796;2;TY204 TXCG
82796;1;TY025 TXCG
82796;1;CF-KP001-SC GLBK
82796;1;TY002 BK
82796;1;CF-KP003-12-VC GLBK
82796;2;TY N6DHPM 8' EXT
82796;2;TY005 BK
82796;2;TY006 BK
82796;3;TY008 BK
82796;2;TY009 BK
82796;2;TY-CN014-8 TXCG
82796;4;TY-CN014-SC TXCG
82796;2;TY165 TXCG
82796;4;TY204 TXCG
82796;2;TY038 TXCG
82796;2;CF-KP001-SC GLBK
82796;2;TY002 BK
82796;2;CF-KP003-8-VC GLBK
82796;2;CF009 GLBK
82796;3;DM1008E144
82796;3;DM1008E144 NP
82796;2;TY N6DHPL 8' EXT
82796;2;TY005 BK
82796;2;TY006 BK
82796;3;TY008 BK
82796;2;TY009 BK
82796;2;TY-CN014-8 TXCG
82796;4;TY-CN014-SC TXCG
82796;2;TY177 TXCG
82796;4;TY222 TXCG
82796;2;TY038 TXCG
82796;2;CF-KP001-SC GLBK
82796;2;TY002 BK
82796;6;TY N6DHPL 12' EXT
82796;6;TY005 BK
82796;6;TY006 BK
82796;9;TY008 BK
82796;6;TY009 BK
82796;6;TY-CN014-12 TXCG
82796;12;TY-CN014-SC TXCG
82796;6;TY144 TXCG
82796;12;TY222 TXCG
82796;6;TY025 TXCG
82796;6;CF-KP001-SC GLBK
82796;6;TY002 BK
82796;2;TY316 GLBK
82796;6;TY315 GLBK
82796;2;CF009 GLBK
82796;8;DM1008E144
82796;8;DM1008E144 NP
82796;1;TY N6DHPL 6' EXT
82796;1;TY005 BK
82796;1;TY006 BK
82796;1.5;TY008 BK
82796;1;TY009 BK
82796;1;TY-CN014-6 TXCG
82796;2;TY-CN014-SC TXCG
82796;1;TY244 TXCG
82796;2;TY222 TXCG
82796;1;TY034 TXCG
82796;1;CF-KP001-SC GLBK
82796;2;CF008 GLBK
82796;1;TY002 BK
82796;1;CF-KP003-6-VC GLBK
82796;2;CF009 GLBK
82796;1;DM1008E144
82796;1;DM1008E144 NP
82796;1;CF367 TXBK
82796;1;R-EXTRA-P
82796;4;MS-8X8 GLBK
82796;6;CF825 GLBK
82796;6;MS-6X48 TXCG
82796;6;MS-6X48 GLBK
82796;6;MS-4X48 TXCG
82796;6;MS-4X48 GLBK
82796;2;MS-15X15 TXCG
82796;2;MS-15X15 MSS
