sku_color;sku;old_sku;description;qty_per_box;weight;length;lbs1400;crate_size
ABLE 01;;;PLASTIC SHEETS BLACK/WHITE 12X24 1/16 262-824;;;;;
AP-8;AP-8;;ASSET PROTECTION 8ft ASSEMBLY;;;;;
AP-8-CLR;AP-8-CLR;;ASSET PROTECTION 8ft ASSEMBLY CLEAR;;;;;
AP-DIA-8;;;ASSET PROTECTION DIAMOND THREAD COVER 8ft;;;;;
AP-EXTRU8;;;ASSET PROTECTION ALUMINUM EXTRUSION 8ft;;;;;
AP-INSERT;;;FIRM PVC PLASTIC TUBING (FT);;;;;
AP-POST_ASSY;;;ASSET PROTECTION POST TOP AND TUBE ASSEMBLY FOR AP-LEG;;;;;
BAR BWURLT 8' EXT 1;BAR BWURLT 8' EXT 1;;BARKER BWURLT 8' EXTERIOR KIT 1;;;;;
BAR BWURLT 8' EXT 2;BAR BWURLT 8' EXT 2;;BARKER BWURLT 8' EXTERIOR KIT 2;;;;;
BAR PFIR6 8ft EXT;BAR PFIR6 8ft EXT;;BARKER PFIR6 8ft EXTERIOR KIT;;;;;
BAR PFIR6 EC EXT;BAR PFIR6 EC EXT;;BARKER PFIR6 END CAP EXTERIOR KIT;;;;;
BAR PFR 8' EXT 1;BAR PFR 8' EXT 1;;BARKER PFR 8' EXTERIOR KIT 1;;;;;
BAR PFR 8' EXT 2;BAR PFR 8' EXT 2;;BARKER PFR 8' EXTERIOR KIT 2;;;;;
BAR PFR EC EXT 2;BAR PFR EC EXT 2;;BARKER PFR END CAP EXTERIOR KIT 2;;;;;
BAR S2SBR 8' EXT;BAR S2SBR 8' EXT;;BARKER S2SBR 8' EXTERIOR KIT;;;;;
BAR-SHF005;BAR-SHF005;;SHELF FRAME 10D X 48W;;;;;
BAR-SHF006;BAR-SHF006;;SHELF FRAME 12D X 48W;;;;;
BAR-SHF007;BAR-SHF007;;SHELF FRAME 16D X 48W;;;;;
BAR-SHF009;BAR-SHF009;;SHELF FRAME 18D X 48W;;;;;
BAR-SHF010;BAR-SHF010;;SHELF FRAME 14D X 48W;;;;;
BAR-SHF013;BAR-SHF013;;SHELF FRAME 18D X 36W;;;;;
BAR-SHF014;BAR-SHF014;;SHELF FRAME 10D X 36W;;;;;
BAR-SHF027-LH;BAR-SHF027-LH;;SHELF FRAME LH 14D X 30W;;;;;
BAR-SHF027-RH;BAR-SHF027-RH;;SHELF FRAME RH 14D X 30W;;;;;
BAR-SHF032-LH;BAR-SHF032-LH;;BRAKER SHELF LH 10 X 26W;;;;;
BAR-SHF032-RH;BAR-SHF032-RH;;BRAKER SHELF RH 10 X 26W;;;;;
BAR008 GLMRR;BAR008;;BAR RH KICKPLATE CLOSE OFF GLMRR;;;;;
BAR009 GLMRR;BAR009;;BAR LH KICKPLATE CLOSE OFF GLMRR;;;;;
BAR026;BAR026;;BAR PTM EXTENSION 36in;;;;;
BAR027;BAR027;;BAR PTM EXTENSION 48in;;;;;
BAR032 GLBK;BAR032;;BAR KICKPLATE 96inX 5H GLBK;;;;;
BAR036 TXPT;BAR036;;BAR FRONT PANEL 96in TXPT;;;;;
BAR037 TXPT;BAR037;;BAR LOWER FRONT PANEL 96in TXPT;;;;;
BAR086 GLMRR;BAR086;;BAR KICKPLATE 144in X 7.5H GLMRR;;;;;
BAR087 GLMRR;BAR087;;BAR KICKPLATE 96in X 7.5H GLMRR;;;;;
BAR088 GLMRR;BAR088;;BAR KICKPLATE 72in X 7.5H GLMRR;;;;;
BAR100 GLBK;BAR100;;BAR PAN 24W X 22D VENTED GLBK;;;;;
BAR119 TXPT;BAR119;;BAR FRONT PANEL SEAM COVER TXPT;;;;;
BAR121 TXPT;BAR121;;BAR LOWER FRONT PANEL SEAM COVER TXPT;;;;;
BAR123 TXPT;BAR123;;BAR FRONT PANEL 96in TXPT;;;;;
BAR125 TXPT;BAR125;;BAR FRONT PANEL SEAM COVER TXPT;;;;;
BAR127 TXPT;BAR127;;BAR LOWER FRONT PANEL 96in TXPT;;;;;
BAR129 TXPT;BAR129;;BAR LOWER FRONT PANEL SEAM COVER TXPT;;;;;
BAR144 TXPT;BAR144;;BAR FRONT PANEL SEAM COVER TXPT;;;;;
BAR151 GLBK;BAR151;;BAR PTM BRACKET GLBK;;;;;
BAR167 GLMRR;BAR167;;BAR KICKPLATE SEAM COVER 7.5H GLMRR;;;;;
BAR203 TXPT;BAR203;;BAR FRONT PANEL 66in TXPT;;;;;
BAR204 TXPT;BAR204;;BAR LOWER FRONT PANEL 66in TXPT;;;;;
BAR205 GLBK;BAR205;;BAR KICKPLATE 66in X 5H GLBK;;;;;
BAR207 TXPT;BAR207;;BAR UPPER FRONT PANEL 96in TXPT;;;;;
BAR208 TXPT;BAR208;;BAR UPPER FRONT PANEL SEAM COVER TXPT;;;;;
BAR210 TXPT;BAR210;;BAR FRONT PANEL 96in TXPT;;;;;
BAR290-10;BAR290-10;;BARKER BRACKET 10in;;;;;
BAR290-14;BAR290-14;;BARKER BRACKET 14in;;;;;
BAR292-4 GLBK;BAR292-4;;BARKER LIGHT BOX 48in GLBK;;;;;
BAR307 GLBK;BAR307;;BAR VENTED BOTTOM PAN 24W X 26D GLBK;;;;;
BAR308 GLBK;BAR308;;BAR BOTTOM PAN PLEXI RETAINER GLBK;;;;;
BAR310 GLBK;BAR310;;BAR KICKPLATE 6H CLOSE OFF 37.25 GLBK;;;;;
BAR314 GLBK;BAR314;;BAR VENTED BOTTOM PAN 24W X 33.5D GLBK;;;;;
BAR315 GLBK;BAR315;;BAR WIRE RACK 23.75W X22.5D WITH PIN GLBK;;;;;
BARL-SHF005 GLBK;BARL-SHF005;;SHELF LIT MD SOLID 10D X 48W STANDARD GLBK;;;;;
BARL-SHF006 GLBK;BARL-SHF006;;SHELF LIT MD SOLID 12D X 48W STANDARD GLBK;;;;;
BARL-SHF007 GLBK;BARL-SHF007;;SHELF LIT MD SOLID 16D X 48W STANDARD GLBK;;;;;
BARL-SHF009 GLBK;BARL-SHF009;;SHELF LIT MD SOLID 18D X 48W STANDARD GLBK;;;;;
BARL-SHF010 GLBK;BARL-SHF010;;SHELF LIT MD SOLID 14D X 48W STANDARD GLBK;;;;;
BARU-SHF005 GLBK;BARU-SHF005;;SHELF UNLIT MD SOLID 10D X 48W STANDARD GLBK;;;;;
BARU-SHF007 GLBK;BARU-SHF007;;SHELF UNLIT MD SOLID 16D X 48W STANDARD GLBK;;;;;
BARU-SHF009 GLBK;BARU-SHF009;;SHELF UNLIT MD SOLID 18D X 48W STANDARD GLBK;;;;;
BARU-SHF010 GLBK;BARU-SHF010;;SHELF UNLIT MD SOLID 14D X 48W STANDARD GLBK;;;;;
BARU-SHF013 GLBK;BARU-SHF013;;SHELF UNLIT MD SOLID 18D X 36W STANDARD GLBK;;;;;
BARU-SHF014 GLBK;BARU-SHF014;;SHELF UNLIT MD SOLID 10D X 36W STANDARD GLBK;;;;;
BARU-SHF027 GLBK;BARU-SHF027;;SHELF UNLIT LH RH 14D X 30W GLBK (KIT OF 2 SHELVES);;;;;
BARU-SHF032 GLBK;BARU-SHF032;;SHELF UNLIT LH RH 10D X 26W GLBK (KIT OF 2 SHELVES);;;;;
BK-CN002-8 TXPT;BK-CN002-8;;BAR CANOPY 11.1875H 8ft TXPT;;;;;
BK-FP003-8 TXPT;BK-FP003-8;;BAR FRONT PANEL 7.1875H 8ft TXPT;;;;;
BK-FP003-SC TXPT;BK-FP003-SC;;BAR FRONT PANEL 7.1875H SEAM COVER TXPT;;;;;
BK-FP004-8 TXPT;BK-FP004-8;;BAR LOWER FRONT PANEL 3.25H 8ft TXPT;;;;;
BK-FP004-SC TXPT;BK-FP004-SC;;BAR LOWER FRONT PANEL 3.25H SEAM COVER TXPT;;;;;
BK-FP005-6 TXBK;BK-FP005-6;;BAR FRONT PANEL 10.5H 6ft TXBK;;;;;
BK-FP005-6 TXPT;BK-FP005-6;;BAR FRONT PANEL 10.5H 6ft TXPT;;;;;
BK-FP005-8 TXBK;BK-FP005-8;;BAR FRONT PANEL 10.5H 8ft TXBK;;;;;
BK-FP005-8 TXPT;BK-FP005-8;;BAR FRONT PANEL 10.5H 8ft TXPT;;;;;
BK-FP005-EC1 TXBK;BK-FP005-EC1;;BAR FRONT PANEL 10.5H END CAP 39in TXBK;;;;;
BK-FP005-EC1 TXPT;BK-FP005-EC1;;BAR FRONT PANEL 10.5H END CAP 39in TXPT;;;;;
BK-FP005-SC TXBK;BK-FP005-SC;;BAR FRONT PANEL 10.5H SEAM COVER TXBK;;;;;
BK-FP005-SC TXPT;BK-FP005-SC;;BAR FRONT PANEL 10.5H SEAM COVER TXPT;;;;;
BK-FP006-8 TXPT;BK-FP006-8;;BAR FRONT PANEL 7H 8ft TXPT;;;;;
BK-FP006-SC TXPT;BK-FP006-SC;;BAR FRONT PANEL 7H SEAM COVER TXPT;;;;;
BK-KP001-4 GLBK;BK-KP001-4;;BAR KICKPLATE 6H 4ft GLBK;;;;;
BK-KP004-4 GLMRR;BK-KP004-4;;BAR KICKPLATE 5.75H 4ft GLMRR;;;;;
BK-KP004-6 GLBK;BK-KP004-6;;BAR KICKPLATE 5.75H 6ft GLBK;;;;;
BK-KP004-8 GLBK;BK-KP004-8;;BAR KICKPLATE 5.75H 8ft GLBK;;;;;
BK-KP004-SC GLBK;BK-KP004-SC;;BAR KICKPLATE SEAM COVER 5.75H GLBK;;;;;
